resolver_ip,num_all,rate_all,num_success,rate_success,asnum,asname,country
13.107.42.2,41,0.00%,38,92.68%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
121.51.94.181,40,0.00%,35,87.50%,45090,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
172.18.82.1,40,0.00%,32,80.00%,null,null,null
205.251.197.239,39,0.00%,26,66.67%,16509,AMAZON-02,US
140.205.122.35,39,0.00%,20,51.28%,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN
140.205.67.254,36,0.00%,23,63.89%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
108.162.193.156,36,0.00%,16,44.44%,13335,CLOUDFLARENET,US
124.16.140.196,36,0.00%,36,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
203.205.220.26,35,0.00%,24,68.57%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
162.14.24.251,35,0.00%,19,54.29%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
52.220.136.67,34,0.00%,24,70.59%,16509,AMAZON-02,US
49.7.176.7,34,0.00%,34,100.00%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
150.171.10.38,33,0.00%,8,24.24%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
89.44.169.141,32,0.00%,24,75.00%,203055,MEGA-LIMITED-AS Mega Limited,LU
114.144.144.144,31,0.00%,15,48.39%,4713,OCN NTT Communications Corporation,JP
61.151.180.49,31,0.00%,19,61.29%,4811,CHINANET-SHANGHAI-MAN China Telecom Group,CN
192.168.123.1,31,0.00%,19,61.29%,null,null,null
205.251.192.112,30,0.00%,17,56.67%,16509,AMAZON-02,US
10.0.2.3,29,0.00%,7,24.14%,null,null,null
52.74.43.18,29,0.00%,18,62.07%,16509,AMAZON-02,US
101.89.14.186,29,0.00%,25,86.21%,4812,CHINANET-SH-AP China Telecom Group,CN
159.226.95.48,28,0.00%,27,96.43%,7497,CSTNET-AS-AP Computer Network Information Center,CN
221.179.193.14,28,0.00%,27,96.43%,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",CN
150.171.10.32,28,0.00%,12,42.86%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
102.130.49.148,28,0.00%,14,50.00%,57695,"MISAKA Misaka Network, Inc.",US
205.251.197.2,27,0.00%,16,59.26%,16509,AMAZON-02,US
185.125.190.66,27,0.00%,25,92.59%,41231,CANONICAL-AS,GB
158.226.8.7,27,0.00%,6,22.22%,null,null,null
120.76.107.37,27,0.00%,13,48.15%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
103.215.142.31,26,0.00%,20,76.92%,58519,CHINATELECOM-CTCLOUD Cloud Computing Corporation,CN
205.251.192.57,26,0.00%,15,57.69%,16509,AMAZON-02,US
124.16.140.136,26,0.00%,26,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
150.171.16.240,26,0.00%,14,53.85%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
124.16.140.255,26,0.00%,26,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.119,26,0.00%,26,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.233,25,0.00%,25,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.61,25,0.00%,25,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.121,25,0.00%,25,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.75,25,0.00%,25,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
124.16.140.239,25,0.00%,25,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
153.226.8.7,24,0.00%,10,41.67%,4713,OCN NTT Communications Corporation,JP
14.215.178.30,24,0.00%,1,4.17%,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
202.95.0.10,24,0.00%,18,75.00%,64050,BCPL-SG BGPNET Global ASN,SG
129.29.29.29,24,0.00%,18,75.00%,1505,DNIC-AS-01505,US
13.107.5.2,23,0.00%,22,95.65%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
202.106.196.115,23,0.00%,19,82.61%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
192.41.162.30,23,0.00%,11,47.83%,396570,VRSN-AC50-340,US
121.43.18.42,22,0.00%,0,0.00%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
108.162.193.177,21,0.00%,21,100.00%,13335,CLOUDFLARENET,US
150.171.0.2,21,0.00%,16,76.19%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
59.36.132.139,21,0.00%,21,100.00%,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
64.4.48.224,21,0.00%,10,47.62%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
13.107.222.39,21,0.00%,9,42.86%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
185.125.190.65,21,0.00%,17,80.95%,41231,CANONICAL-AS,GB
13.107.160.1,21,0.00%,20,95.24%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
124.16.140.151,20,0.00%,20,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
120.92.128.233,20,0.00%,20,100.00%,17621,CNCGROUP-SH China Unicom Shanghai network,CN
159.226.95.52,20,0.00%,20,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
121.51.173.16,20,0.00%,9,45.00%,45090,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
121.195.179.18,20,0.00%,19,95.00%,4538,ERX-CERNET-BKB China Education and Research Network Center,CN
26.26.26.53,20,0.00%,0,0.00%,749,DNIC-AS-00749,US
36.99.172.6,20,0.00%,13,65.00%,137687,"CHINATELECOM-HENAN-LUOYANG-IDC Luoyang, Henan Province, P.R.China.",CN
192.168.168.168,20,0.00%,18,90.00%,null,null,null
114.114.114.144,19,0.00%,14,73.68%,174,COGENT-174,US
159.226.95.32,19,0.00%,19,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
198.51.44.8,19,0.00%,18,94.74%,62597,NSONE,US
180.76.76.96,19,0.00%,19,100.00%,38365,"BAIDU Beijing Baidu Netcom Science and Technology Co., Ltd.",CN
205.251.193.165,19,0.00%,18,94.74%,16509,AMAZON-02,US
124.16.140.107,19,0.00%,19,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
150.171.16.38,18,0.00%,4,22.22%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
61.151.180.52,17,0.00%,13,76.47%,4811,CHINANET-SHANGHAI-MAN China Telecom Group,CN
3.120.163.96,17,0.00%,8,47.06%,16509,AMAZON-02,US
64.4.48.4,17,0.00%,14,82.35%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
119.29.29.2,17,0.00%,14,82.35%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
111.30.170.112,16,0.00%,9,56.25%,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",CN
96.7.50.66,16,0.00%,3,18.75%,21342,AKAMAI-ASN2,NL
202.106.46.151,16,0.00%,11,68.75%,4808,CHINA169-BJ China Unicom Beijing Province Network,CN
116.253.28.158,16,0.00%,11,68.75%,137693,"CHINATELECOM-GUANGXI-NANNING-IDC CHINATELECOM Guangxi Nanning IDC networkdescr: NanningGuangxi Province, P.R.China.",CN
124.16.140.70,16,0.00%,16,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
220.181.33.34,16,0.00%,16,100.00%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
172.64.32.147,16,0.00%,9,56.25%,13335,CLOUDFLARENET,US
47.113.183.33,16,0.00%,5,31.25%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
110.43.57.16,16,0.00%,8,50.00%,59019,"BJKSCNET Beijing Kingsoft Cloud Internet Technology Co., Ltd",CN
220.181.33.31,16,0.00%,6,37.50%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
122.112.208.249,16,0.00%,10,62.50%,55990,HWCSNET Huawei Cloud Service data center,CN
159.226.95.29,16,0.00%,16,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
66.203.127.16,16,0.00%,12,75.00%,205809,MEGA,NZ
124.16.140.89,16,0.00%,16,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
61.151.180.51,16,0.00%,7,43.75%,4811,CHINANET-SHANGHAI-MAN China Telecom Group,CN
108.162.193.197,15,0.00%,15,100.00%,13335,CLOUDFLARENET,US
205.251.196.236,15,0.00%,7,46.67%,16509,AMAZON-02,US
203.107.0.100,15,0.00%,8,53.33%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
18.200.113.118,14,0.00%,7,50.00%,16509,AMAZON-02,US
192.42.93.30,14,0.00%,6,42.86%,396544,VRSN-AC50-340,US
172.64.34.151,14,0.00%,7,50.00%,13335,CLOUDFLARENET,US
121.43.18.33,14,0.00%,8,57.14%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
216.239.34.108,14,0.00%,7,50.00%,15169,GOOGLE,US
111.45.3.226,14,0.00%,6,42.86%,56040,CMNET-GUANGDONG-AP China Mobile communications corporation,CN
101.89.14.148,14,0.00%,5,35.71%,4812,CHINANET-SH-AP China Telecom Group,CN
36.152.45.193,14,0.00%,5,35.71%,56046,CMNET-JIANGSU-AP China Mobile communications corporation,CN
199.7.68.1,14,0.00%,0,0.00%,397220,SECURITYSERVICES,US
123.150.77.68,14,0.00%,5,35.71%,58542,"CHINATELECOM-TIANJIN Tianjij,300000",CN
162.14.24.246,14,0.00%,14,100.00%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
72.246.103.98,14,0.00%,7,50.00%,20940,AKAMAI-ASN1,NL
114.114.114.113,14,0.00%,10,71.43%,174,COGENT-174,US
2.1.4.1,14,0.00%,4,28.57%,3215,France Telecom - Orange,FR
116.128.153.20,13,0.00%,12,92.31%,140979,UNICOM-SHFT-IDC China Unicom Shanghai FuTe IDC network,CN
39.104.185.30,13,0.00%,9,69.23%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
39.96.153.39,13,0.00%,6,46.15%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
203.119.28.1,13,0.00%,5,38.46%,24151,CNNIC-CRITICAL-AP China Internet Network Infomation Center,CN
199.19.53.1,12,0.00%,6,50.00%,12041,AS-AFILIAS1,US
205.251.196.197,12,0.00%,8,66.67%,16509,AMAZON-02,US
159.138.224.163,12,0.00%,6,50.00%,136907,HWCLOUDS-AS-AP HUAWEI CLOUDS,HK
49.232.70.103,12,0.00%,8,66.67%,45090,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
47.88.74.36,12,0.00%,5,41.67%,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN
47.108.110.112,12,0.00%,0,0.00%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
172.64.35.157,12,0.00%,12,100.00%,13335,CLOUDFLARENET,US
205.251.199.230,12,0.00%,6,50.00%,16509,AMAZON-02,US
120.92.128.96,12,0.00%,6,50.00%,17621,CNCGROUP-SH China Unicom Shanghai network,CN
155.56.68.196,12,0.00%,8,66.67%,12510,SAP_DC_WDF networkmail abuse to abuse@sap.com,DE
47.88.74.38,12,0.00%,5,41.67%,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN
23.200.75.112,12,0.00%,6,50.00%,20940,AKAMAI-ASN1,NL
58.251.121.188,12,0.00%,12,100.00%,17623,CNCGROUP-SZ China Unicom Shenzen network,CN
23.213.42.6,12,0.00%,6,50.00%,20940,AKAMAI-ASN1,NL
42.236.105.6,12,0.00%,3,25.00%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
205.251.197.191,11,0.00%,10,90.91%,16509,AMAZON-02,US
121.43.18.41,11,0.00%,5,45.45%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
91.189.94.173,11,0.00%,10,90.91%,41231,CANONICAL-AS,GB
40.90.4.5,11,0.00%,10,90.91%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
120.92.208.33,11,0.00%,10,90.91%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
140.205.122.143,11,0.00%,7,63.64%,45102,"ALIBABA-CN-NET Alibaba US Technology Co., Ltd.",CN
64.4.48.205,11,0.00%,3,27.27%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
185.120.22.23,11,0.00%,6,54.55%,206479,FASTETHERNET-AS FastEthernet,DE
220.181.33.32,11,0.00%,11,100.00%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
106.55.82.76,11,0.00%,6,54.55%,45090,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
180.102.211.91,10,0.00%,5,50.00%,134756,CHINANET-NANJING-JISHAN-IDC CHINANET Nanjing Jishan IDC network,CN
216.239.38.109,10,0.00%,8,80.00%,15169,GOOGLE,US
159.226.95.66,10,0.00%,10,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
40.90.4.205,10,0.00%,4,40.00%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
137.184.40.180,10,0.00%,5,50.00%,14061,DIGITALOCEAN-ASN,US
193.108.91.66,10,0.00%,3,30.00%,21342,AKAMAI-ASN2,NL
110.242.68.134,10,0.00%,5,50.00%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
2.1.0.6,10,0.00%,2,20.00%,3215,France Telecom - Orange,FR
192.5.6.30,10,0.00%,4,40.00%,397209,VRSN-AC28,US
172.64.32.105,10,0.00%,10,100.00%,13335,CLOUDFLARENET,US
150.171.10.36,10,0.00%,10,100.00%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
183.253.57.200,10,0.00%,6,60.00%,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",CN
205.251.195.9,10,0.00%,6,60.00%,16509,AMAZON-02,US
108.162.193.116,10,0.00%,8,80.00%,13335,CLOUDFLARENET,US
13.107.206.39,10,0.00%,5,50.00%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
216.239.38.10,10,0.00%,7,70.00%,15169,GOOGLE,US
95.101.36.128,10,0.00%,6,60.00%,21342,AKAMAI-ASN2,NL
205.251.193.166,10,0.00%,2,20.00%,16509,AMAZON-02,US
14.1.112.22,10,0.00%,3,30.00%,134963,ASEPL-AS-AP Alibaba.com Singapore E-Commerce Private Limited,SG
103.72.16.81,9,0.00%,8,88.89%,45062,NETEASE-NETWORK NetEase Building No.16 Ke Yun Road,CN
184.26.127.54,9,0.00%,6,66.67%,20940,AKAMAI-ASN1,NL
101.132.100.20,9,0.00%,2,22.22%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
124.16.140.20,9,0.00%,8,88.89%,7497,CSTNET-AS-AP Computer Network Information Center,CN
13.107.206.34,9,0.00%,7,77.78%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
205.251.194.24,9,0.00%,5,55.56%,16509,AMAZON-02,US
173.245.58.217,8,0.00%,8,100.00%,13335,CLOUDFLARENET,US
168.126.63.1,8,0.00%,8,100.00%,4766,KIXS-AS-KR Korea Telecom,KR
124.161.255.0,8,0.00%,7,87.50%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
84.53.139.64,8,0.00%,2,25.00%,21342,AKAMAI-ASN2,NL
23.235.32.32,8,0.00%,8,100.00%,54113,FASTLY,US
40.90.4.7,8,0.00%,5,62.50%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
60.210.22.182,8,0.00%,4,50.00%,4837,CHINA169-BACKBONE CHINA UNICOM China169 Backbone,CN
103.254.190.251,8,0.00%,4,50.00%,23724,"CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation",CN
202.112.0.44,8,0.00%,4,50.00%,24348,CNGI-BJ-IX2-AS-AP CERNET2 IX at Tsinghua University,CN
140.205.29.113,8,0.00%,5,62.50%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
216.239.36.108,8,0.00%,5,62.50%,15169,GOOGLE,US
172.64.33.219,8,0.00%,4,50.00%,13335,CLOUDFLARENET,US
40.90.4.4,8,0.00%,5,62.50%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
17.253.206.8,8,0.00%,4,50.00%,714,APPLE-ENGINEERING,US
111.20.4.27,8,0.00%,8,100.00%,140105,CMNET-SNIDC-CN-AP Shaanxi Mobile Communication Company Limited,CN
95.100.173.129,8,0.00%,2,25.00%,21342,AKAMAI-ASN2,NL
169.226.8.7,8,0.00%,0,0.00%,22990,ALBANYEDU,US
116.205.5.25,8,0.00%,4,50.00%,55990,HWCSNET Huawei Cloud Service data center,CN
66.203.127.14,8,0.00%,6,75.00%,205809,MEGA,NZ
212.12.50.229,8,0.00%,4,50.00%,13135,"CREW-AS Hamburg, Germany",DE
202.12.31.53,8,0.00%,4,50.00%,18366,APNIC-ANYCAST-AP ANYCAST AS,AU
162.159.7.226,8,0.00%,8,100.00%,13335,CLOUDFLARENET,US
203.205.195.75,7,0.00%,2,28.57%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
159.126.8.6,7,0.00%,7,100.00%,null,null,null
208.80.126.4,7,0.00%,4,57.14%,16552,TIGGEE,US
112.124.107.109,7,0.00%,7,100.00%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
216.49.94.53,7,0.00%,2,28.57%,7754,MCAFEE,US
13.107.3.1,7,0.00%,7,100.00%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
39.96.153.38,7,0.00%,4,57.14%,37963,"ALIBABA-CN-NET Hangzhou Alibaba Advertising Co.,Ltd.",CN
1.12.0.4,7,0.00%,7,100.00%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
82.163.142.9,7,0.00%,5,71.43%,204078,GREENTEAM,IL
203.205.221.34,7,0.00%,2,28.57%,132203,"TENCENT-NET-AP-CN Tencent Building, Kejizhongyi Avenue",CN
185.159.198.48,7,0.00%,0,0.00%,394354,CIRA-CLOUD2,CA
59.36.120.145,7,0.00%,3,42.86%,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
10.103.0.1,7,0.00%,4,57.14%,null,null,null
59.36.120.152,7,0.00%,7,100.00%,4134,"CHINANET-BACKBONE No.31,Jin-rong Street",CN
173.245.59.75,7,0.00%,7,100.00%,13335,CLOUDFLARENET,US
64.68.196.10,7,0.00%,6,85.71%,16686,EDNS,CA
183.192.164.119,6,0.00%,5,83.33%,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",CN
123.151.69.223,6,0.00%,4,66.67%,58542,"CHINATELECOM-TIANJIN Tianjij,300000",CN
205.251.196.208,6,0.00%,4,66.67%,16509,AMAZON-02,US
150.171.10.35,6,0.00%,4,66.67%,8075,MICROSOFT-CORP-MSN-AS-BLOCK,US
95.100.173.66,6,0.00%,0,0.00%,21342,AKAMAI-ASN2,NL
216.239.38.110,6,0.00%,4,66.67%,15169,GOOGLE,US
157.255.246.102,6,0.00%,2,33.33%,17623,CNCGROUP-SZ China Unicom Shenzen network,CN
23.200.75.111,6,0.00%,3,50.00%,20940,AKAMAI-ASN1,NL
205.251.197.227,6,0.00%,3,50.00%,16509,AMAZON-02,US
45.116.42.4,6,0.00%,6,100.00%,45474,NEXUSGUARD-AS-AP NEXUSGUARD LIMITED,HK
124.16.136.254,6,0.00%,3,50.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
101.36.129.118,6,0.00%,3,50.00%,56048,CMNET-BEIJING-AP China Mobile Communicaitons Corporation,CN
2.22.230.130,6,0.00%,4,66.67%,21342,AKAMAI-ASN2,NL
103.127.121.22,6,0.00%,2,33.33%,133217,AFOYI-AS-AP BACHBLUE PTY LTD TA AFOYI,AU
221.130.200.70,6,0.00%,3,50.00%,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",CN
40.90.4.8,6,0.00%,4,66.67%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
42.192.11.98,6,0.00%,4,66.67%,45090,TENCENT-NET-AP Shenzhen Tencent Computer Systems Company Limited,CN
205.251.195.233,6,0.00%,6,100.00%,16509,AMAZON-02,US
178.63.120.205,6,0.00%,3,50.00%,24940,HETZNER-AS,DE
159.226.18.13,6,0.00%,6,100.00%,7497,CSTNET-AS-AP Computer Network Information Center,CN
184.26.160.67,6,0.00%,4,66.67%,21342,AKAMAI-ASN2,NL
40.90.4.204,6,0.00%,1,16.67%,8068,MICROSOFT-CORP-MSN-AS-BLOCK,US
111.10.53.128,6,0.00%,1,16.67%,9808,"CHINAMOBILE-CN China Mobile Communications Group Co., Ltd.",CN
199.19.54.1,6,0.00%,3,50.00%,12041,AS-AFILIAS1,US
